"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,22.5,52.20381915104588,45,11,19,34,11,6,7,15,17
1,1,2,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,3,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,4,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,5,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,6,23.4,51.277990623094134,46.8,11.4,19.8,35.4,11.4,6.2,7.3,15.6,17.7
1,1,7,26.1,55.52598144429338,52.2,12.8,22,39.4,12.8,7,8.1,17.4,15.197046651936702
1,1,8,30.6,65.46410760752539,61.2,15,25.8,40.386580848386735,13.0494929370596,8.2,9.5,20.4,9.182520398161206
1,1,9,33.3,79.9,66.6,16.3,28.1,40.242965910701116,11.181410435823972,8.9,10.3,22.2,7.359830229340229
1,1,10,34.7,83.2,69.3,16.9,29.3,41.74921215986816,10.53166315400826,9.2,10.8,23.1,6.66106518308054
1,1,11,35.6,85.3,71.1,17.4,30,43.48196257616327,10.19655877305026,9.5,11.1,23.7,6.329031303785511
1,1,12,36,86.4,72,17.6,30.4,44.93442926306843,10.168096292793573,9.6,11.2,24,6.268234649303553
1,1,13,36.5,87.5,72.9,17.8,30.8,45.80188852133938,10.03330094535296,9.7,11.3,24.3,6.114915575530246
1,1,14,36,86.4,72,17.6,30.4,45.51943669170264,10.274429159977506,9.6,11.2,24,6.360757068594907
1,1,15,35.1,84.2,70.2,17.2,29.6,44.95832835442466,10.784122404772477,9.4,10.9,23.4,6.888970370153313
1,1,16,34.2,82.1,68.4,16.7,28.9,43.810585366763746,11.2255596529144,9.1,10.6,22.8,7.313526668739687
1,1,17,34.7,83.2,69.3,16.9,29.3,41.16420473123394,10.425330286824327,9.2,10.8,23.1,6.568542763789191
1,1,18,35.6,78.83402788680948,71.1,17.4,30,37.53211097163809,9.000521226971852,9.5,11.1,23.7,5.288334384223953
1,1,19,39.2,48.400274760796236,78.3,19.1,33.1,35.46566165538136,6.092549035127147,10.4,12.2,26.1,2.4760960588223373
1,1,20,41.9,34.61030673247641,83.7,20.5,35.3,33.634196937283946,3.863133192971299,11.2,13,27.9,0.3832683563763908
1,1,21,43.7,30.402694610062976,85.99661607423789,21.3,36.9,32.76407733525522,3.0248124929015265,11.6,13.6,26.813144775594115,0
1,1,22,45,30.17670164032648,84.94527377580934,22,38,32.76407733525522,2.6167756265623368,12,13.329739911329025,26.175487577470474,0
1,1,23,40.1,34.27323570527399,80.1,19.6,33.8,34.93193792862571,5.328054286459103,10.7,12.5,26.7,1.7704407707091256
1,1,24,37.4,37.61807260632493,74.7,18.3,31.5,36.499343524961205,7.606740400902586,9.9,11.6,24.9,3.9187965292897324
